time,bin_left,bin_right,density
3.8,-0.867544,-0.827193,11.9617
3.8,-0.827193,-0.786842,5.80533
3.8,-0.786842,-0.746491,1.78022
3.8,-0.746491,-0.70614,0.869457
3.8,-0.70614,-0.665789,0.510109
3.8,-0.665789,-0.625439,0.367609
3.8,-0.625439,-0.585088,0.270543
3.8,-0.585088,-0.544737,0.227174
3.8,-0.544737,-0.504386,0.177609
3.8,-0.504386,-0.464035,0.130109
3.8,-0.464035,-0.423684,0.169348
3.8,-0.423684,-0.383333,0.103261
3.8,-0.383333,-0.342982,0.105326
3.8,-0.342982,-0.302632,0.105326
3.8,-0.302632,-0.262281,0.078478
3.8,-0.262281,-0.22193,0.074348
3.8,-0.22193,-0.181579,0.070217
3.8,-0.181579,-0.141228,0.076413
3.8,-0.141228,-0.100877,0.059891
3.8,-0.100877,-0.060526,0.082609
3.8,-0.060526,-0.020175,0.059891
3.8,-0.020175,0.020175,0.035109
3.8,0.020175,0.060526,0.055761
3.8,0.060526,0.100877,0.072283
3.8,0.100877,0.141228,0.039239
3.8,0.141228,0.181579,0.05163
3.8,0.181579,0.22193,0.049565
3.8,0.22193,0.262281,0.086739
3.8,0.262281,0.302632,0.076413
3.8,0.302632,0.342982,0.041304
3.8,0.342982,0.383333,0.064022
3.8,0.383333,0.423684,0.072283
3.8,0.423684,0.464035,0.070217
3.8,0.464035,0.504386,0.05163
3.8,0.504386,0.544737,0.082609
3.8,0.544737,0.585088,0.080543
3.8,0.585088,0.625439,0.105326
3.8,0.625439,0.665789,0.095
3.8,0.665789,0.70614,0.19
3.8,0.70614,0.746491,0.208587
3.8,0.746491,0.786842,0.144565
3.8,0.786842,0.827193,0
3.8,0.827193,0.867544,0
3.8,0.867544,0.907895,0
3.8,0.907895,0.948246,0
3.8,0.948246,0.988596,0
3.8,0.988596,1.02895,0
3.8,1.02895,1.0693,0
3.8,1.0693,1.10965,0
3.8,1.10965,1.15,0
4.1,-1.15,-1.10965,0
4.1,-1.10965,-1.0693,0
4.1,-1.0693,-1.02895,0
4.1,-1.02895,-0.988596,0
4.1,-0.988596,-0.948246,0
4.1,-0.948246,-0.907895,0
4.1,-0.907895,-0.867544,0
4.1,-0.867544,-0.827193,1.93098
4.1,-0.827193,-0.786842,3.61
4.1,-0.786842,-0.746491,2.0838
4.1,-0.746491,-0.70614,1.34446
4.1,-0.70614,-0.665789,0.976848
4.1,-0.665789,-0.625439,0.675326
4.1,-0.625439,-0.585088,0.466739
4.1,-0.585088,-0.544737,0.475
4.1,-0.544737,-0.504386,0.349022
4.1,-0.504386,-0.464035,0.357283
4.1,-0.464035,-0.423684,0.295326
4.1,-0.423684,-0.383333,0.258152
4.1,-0.383333,-0.342982,0.254022
4.1,-0.342982,-0.302632,0.260217
4.1,-0.302632,-0.262281,0.2375
4.1,-0.262281,-0.22193,0.192065
4.1,-0.22193,-0.181579,0.171413
4.1,-0.181579,-0.141228,0.198261
4.1,-0.141228,-0.100877,0.163152
4.1,-0.100877,-0.060526,0.152826
4.1,-0.060526,-0.020175,0.173478
4.1,-0.020175,0.020175,0.183804
4.1,0.020175,0.060526,0.216848
4.1,0.060526,0.100877,0.196196
4.1,0.100877,0.141228,0.19413
4.1,0.141228,0.181579,0.200326
4.1,0.181579,0.22193,0.202391
4.1,0.22193,0.262281,0.218913
4.1,0.262281,0.302632,0.206522
4.1,0.302632,0.342982,0.200326
4.1,0.342982,0.383333,0.2375
4.1,0.383333,0.423684,0.287065
4.1,0.423684,0.464035,0.313913
4.1,0.464035,0.504386,0.382065
4.1,0.504386,0.544737,0.425435
4.1,0.544737,0.585088,0.559674
4.1,0.585088,0.625439,0.609239
4.1,0.625439,0.665789,0.799239
4.1,0.665789,0.70614,1.06978
4.1,0.70614,0.746491,1.68935
4.1,0.746491,0.786842,1.96402
4.1,0.786842,0.827193,0
4.1,0.827193,0.867544,0
4.1,0.867544,0.907895,0
4.1,0.907895,0.948246,0
4.1,0.948246,0.988596,0
4.1,0.988596,1.02895,0
4.1,1.02895,1.0693,0
4.1,1.0693,1.10965,0
4.1,1.10965,1.15,0
